Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
420,1,0,1,0,0,0,0,3,9,2,5,1,0,0,3,2,3,2,2,2,3,2,5,3,5,9,2
420,1,1,1,4,0,3,11,3,6,4,5,1,0,0,3,2,8,2,2,2,3,2,5,3,5,16,2
420,1,0,1,4,0,0,5,3,1,6,5,1,0,0,3,2,2,2,2,2,0,1,1,2,5,0,1
594,3,0,1,4,0,2,11,0,6,6,6,7,2,0,0,2,8,2,2,2,2,0,0,2,5,1,2
594,3,0,1,4,0,1,0,3,4,6,5,7,0,0,0,2,8,2,2,2,3,2,5,3,5,16,2
265,0,1,1,4,3,2,0,3,7,2,5,7,0,0,3,2,8,1,1,10,0,1,1,2,5,14,2
448,6,0,1,4,0,1,0,3,9,4,5,0,0,0,3,2,8,1,1,3,0,0,0,2,5,13,2
438,0,0,1,4,0,1,0,0,9,6,5,7,0,0,3,2,8,2,1,10,3,2,5,3,5,12,2
438,0,0,1,4,0,3,5,3,4,6,5,7,2,0,3,2,3,2,1,2,2,1,4,2,0,1,2
438,0,0,1,4,0,0,0,3,9,4,5,7,0,0,3,2,3,2,1,10,1,1,0,2,5,9,1
290,2,0,1,0,2,0,10,3,9,6,5,1,0,0,3,2,0,2,1,9,3,2,5,3,5,0,1
290,2,1,1,0,0,5,0,3,6,4,5,1,2,0,3,2,0,2,1,2,0,1,0,2,5,11,1
463,4,0,1,4,0,0,11,3,6,0,0,1,0,0,3,2,0,2,2,2,3,2,5,3,5,10,2
463,4,1,1,4,0,2,5,3,6,6,5,1,0,0,3,2,0,2,2,12,3,2,5,3,5,12,2
463,4,1,1,4,0,3,0,3,6,4,0,1,0,0,3,2,0,2,2,2,0,0,0,2,5,10,1
743,1,0,0,4,0,3,4,3,6,1,5,7,0,3,0,4,0,2,3,2,3,2,5,3,5,10,1
743,1,0,1,4,2,2,10,3,6,4,5,7,0,3,0,4,0,2,3,2,3,2,5,3,5,9,2
743,1,0,1,1,0,1,10,3,6,6,5,7,0,3,0,4,0,2,3,2,3,2,5,3,5,1,1
743,1,0,1,4,0,1,0,3,9,6,5,7,0,3,0,4,0,2,3,3,3,2,5,3,5,11,2
985,5,0,1,4,0,4,3,3,9,1,5,7,0,0,3,2,0,2,1,2,0,1,4,2,5,9,1
985,5,3,1,4,0,1,5,3,7,1,5,7,0,0,3,2,0,2,1,2,3,2,5,3,5,7,2
317,4,0,1,4,0,1,4,3,2,4,5,0,0,0,3,2,0,1,1,3,0,1,0,2,5,16,1
150,4,0,1,1,0,2,5,3,1,6,5,7,0,0,3,2,5,2,1,1,1,0,1,2,5,14,1
150,4,1,1,4,0,3,9,3,4,4,5,7,0,0,3,2,6,2,1,7,1,1,0,2,5,1,1
